theta,unregulated_barrier,sber_style_barrier
2.253888116202697134e+00,9.583143261066844332e-01,8.317785255006886480e-01
2.266479669924499785e+00,9.637975796178730459e-01,8.283089286656051264e-01
2.279071223646302879e+00,9.702050575295668722e-01,8.255585815919116444e-01
2.291662777368105530e+00,9.775370177929210147e-01,8.235246184391002977e-01
2.304254331089908181e+00,9.857948819538027152e-01,8.222052788510918475e-01
2.316845884811710832e+00,9.949812272090818865e-01,8.215999005799958788e-01
2.329437438533513927e+00,1.005099784434785981e+00,8.217089189481134870e-01
2.342028992255316577e+00,1.016155442086687621e+00,8.225338731758515820e-01
2.354620545977119228e+00,1.028154255938713124e+00,8.240774196962366016e-01
2.367212099698922323e+00,1.041103464687888280e+00,8.263433526730872281e-01
2.379803653420724974e+00,1.055011511517613743e+00,8.293366320419822690e-01
2.392395207142527624e+00,1.069888071775054073e+00,8.330634195034574141e-01
2.404986760864330275e+00,1.085744086984461010e+00,8.375311230192128420e-01
2.417578314586133370e+00,1.102591805487644683e+00,8.427484504978386415e-01
2.430169868307936021e+00,1.120444830076798848e+00,8.487254735104817760e-01
2.442761422029738672e+00,1.139318173064923334e+00,8.554737020535656544e-01
2.455352975751541766e+00,1.159228319326763623e+00,8.630061715807091360e-01
2.467944529473344417e+00,1.180193297940270725e+00,8.713375437660770828e-01
2.480536083195147068e+00,1.202232763167179197e+00,8.804842227448956837e-01
2.493127636916949719e+00,1.225368085633704585e+00,8.904644889140562736e-01
2.505719190638752814e+00,1.249622454711501129e+00,9.012986527795761038e-01
2.518310744360555464e+00,1.275020993258088264e+00,9.130092318243803184e-01
2.530902298082358115e+00,1.301590886058983321e+00,9.256211539600589511e-01
2.543493851804161210e+00,1.329361523525438571e+00,9.391619918461604488e-01
2.556085405525963861e+00,1.358364662447752780e+00,9.536622332440065630e-01
2.568676959247766511e+00,1.388634605891464258e+00,9.691555936624710599e-01
2.581268512969569162e+00,1.420208404660793233e+00,9.856793789074760337e-01
2.593860066691372257e+00,1.453126083150865222e+00,1.003274906839472180e+00
2.606451620413174908e+00,1.487430892880121425e+00,1.021987999772109301e+00
2.619043174134977559e+00,1.523169597552802568e+00,1.041869561641505681e+00
2.631634727856780653e+00,1.560392794167800634e+00,1.062976257514386180e+00
2.644226281578583304e+00,1.599155275489187789e+00,1.085371317422666682e+00
2.656817835300385955e+00,1.639516440155857291e+00,1.109125492236517907e+00
2.669409389022188606e+00,1.681540757871718306e+00,1.134318196765883524e+00
2.682000942743991700e+00,1.725298298533114227e+00,1.161038885137302801e+00
2.694592496465794351e+00,1.770865335879299174e+00,1.189388716610934704e+00
2.707184050187597002e+00,1.818325038375936176e+00,1.219482587642006122e+00
2.719775603909400097e+00,1.867768262665162604e+00,1.251451629974352331e+00
2.732367157631202748e+00,1.919294468175355206e+00,1.285446307556223688e+00
2.744958711353005398e+00,1.973012775558248943e+00,1.321640291074985818e+00
2.757550265074808049e+00,2.029043196747310152e+00,1.360235353953503701e+00
2.770141818796611144e+00,2.087518070925226343e+00,1.401467627045376529e+00
2.782733372518413795e+00,2.148583748974699947e+00,1.445615685649907833e+00
2.795324926240216445e+00,2.212402579642303468e+00,1.493011145375529924e+00
2.807916479962019540e+00,2.279155264460343666e+00,1.544052751559095160e+00
2.820508033683822191e+00,2.349043666541582809e+00,1.599225425911531051e+00
